warning: only one CPU, which may conceal locking bugs
012706 TIMR S1 Leader, checking heartbeats
012711 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012712 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012714 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
012715 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012715 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012717 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
013236 TIMR S1 Leader, checking heartbeats
013240 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
013240 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
013241 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
013242 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
013242 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
013243 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
013757 TIMR S1 Leader, checking heartbeats
013762 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
013762 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
013763 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
013766 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
013766 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
013767 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
014274 TIMR S1 Leader, checking heartbeats
014279 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014280 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014281 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
014283 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014283 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014283 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
014796 TIMR S1 Leader, checking heartbeats
014799 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014799 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014801 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
014802 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014803 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014804 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
015328 TIMR S1 Leader, checking heartbeats
015331 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015331 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015333 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
015334 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015334 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015334 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
015862 TIMR S1 Leader, checking heartbeats
015866 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015866 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015867 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
