warning: only one CPU, which may conceal locking bugs
025680 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
025681 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
026206 TIMR S1 Leader, checking heartbeats
026210 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
026210 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
026212 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
026214 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
026214 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
026215 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
026734 TIMR S1 Leader, checking heartbeats
026738 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
026738 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
026740 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
026742 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
026742 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
026743 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
027284 TIMR S1 Leader, checking heartbeats
027288 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027288 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027290 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
027292 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027293 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027294 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
027864 TIMR S1 Leader, checking heartbeats
027868 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027868 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027870 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
027873 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027873 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027876 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
028467 TIMR S1 Leader, checking heartbeats
028470 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028470 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028472 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
028474 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028474 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028475 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
028977 TIMR S1 Leader, checking heartbeats
028981 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028981 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028982 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
028984 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028984 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028985 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
029552 TIMR S1 Leader, checking heartbeats
029559 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
029559 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
029561 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
029564 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
029564 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
029597 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
030087 TIMR S1 Leader, checking heartbeats
030092 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
030092 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
030094 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
030096 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
030096 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
030098 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
  ... Passed --   3.0  3  108   32442    0
030341 CLNT S0 start
030342 CLNT S1 start
030343 CLNT S2 start
Test (2A): election after network failure ...
032372 TIMR S2 Follower -> Candidate at time : 1681836525
032372 CLNT S2 election timeouts restart a new election now - lastAct = 202 ms
032372 INFO S2 new timeouts 293 ms
032375 VOTE S2 send request to S0 for vote
032375 VOTE S2 send request to S1 for vote
032377 CLNT S1 Handle RequestVote, CandidatesId2 Term1 CurrentTerm0 LastLogIndex-1 LastLogTerm-1 votedFor-1
032377 CLNT S1 voted to S2
032378 VOTE S2 got majority votes and becomes Leader Spend 0 millseconds
032379 TIMR S0 Follower -> Candidate at time : 1681836525
032379 CLNT S0 election timeouts restart a new election now - lastAct = 203 ms
032379 INFO S0 new timeouts 258 ms
032379 VOTE S0 send request to S1 for vote
032379 VOTE S0 send request to S2 for vote
032381 CLNT S2 Handle RequestVote, CandidatesId0 Term1 CurrentTerm1 LastLogIndex-1 LastLogTerm-1 votedFor2
032381 CLNT S2 Refuse vote S0 cause already vote for someone else
032384 CLNT S0 Handle RequestVote, CandidatesId2 Term1 CurrentTerm1 LastLogIndex-1 LastLogTerm-1 votedFor0
032384 CLNT S0 Refuse vote S2 cause already vote for someone else
032387 CLNT S1 Handle RequestVote, CandidatesId0 Term1 CurrentTerm1 LastLogIndex-1 LastLogTerm-1 votedFor2
032388 CLNT S1 Refuse vote S0 cause already vote for someone else
032388 VOTE S0 did not got majortity votes election faild
032551 TIMR S2 Leader, checking heartbeats
032554 LOG1 S1 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
032554 LOG1 S1 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
032556 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
032557 LOG1 S0 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Candidate]
032557 LOG1 S0 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
032560 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
033108 TIMR S2 Leader, checking heartbeats
033111 LOG1 S1 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033111 LOG1 S1 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033113 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
033116 LOG1 S0 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033116 LOG1 S0 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033117 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
033695 TIMR S2 Leader, checking heartbeats
033698 LOG1 S1 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033699 LOG1 S1 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033701 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
033703 LOG1 S0 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033703 LOG1 S0 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033704 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
034296 TIMR S2 Leader, checking heartbeats
034301 LOG1 S1 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034301 LOG1 S1 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034303 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
034305 LOG1 S0 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034305 LOG1 S0 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034307 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
034813 TIMR S2 Leader, checking heartbeats
034816 LOG1 S1 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034816 LOG1 S1 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034818 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
034820 LOG1 S0 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034820 LOG1 S0 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034821 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
035341 TIMR S2 Leader, checking heartbeats
035871 TIMR S2 Leader, checking heartbeats
036533 TIMR S2 Leader, checking heartbeats
037254 TIMR S2 Leader, checking heartbeats
037257 TIMR S1 Follower -> Candidate at time : 1681836526
037257 CLNT S1 election timeouts restart a new election now - lastAct = 244 ms
037257 INFO S1 new timeouts 322 ms
037258 VOTE S1 send request to S0 for vote
037259 VOTE S1 send request to S2 for vote
037259 TIMR S0 Follower -> Candidate at time : 1681836526
037259 CLNT S0 election timeouts restart a new election now - lastAct = 243 ms
037259 INFO S0 new timeouts 198 ms
037260 VOTE S0 send request to S1 for vote
037260 VOTE S0 send request to S2 for vote
037263 CLNT S0 Handle RequestVote, CandidatesId1 Term2 CurrentTerm2 LastLogIndex-1 LastLogTerm-1 votedFor0
037263 CLNT S0 Refuse vote S1 cause already vote for someone else
037267 CLNT S1 Handle RequestVote, CandidatesId0 Term2 CurrentTerm2 LastLogIndex-1 LastLogTerm-1 votedFor1
037268 CLNT S1 Refuse vote S0 cause already vote for someone else
037863 TIMR S2 Leader, checking heartbeats
038375 TIMR S2 Leader, checking heartbeats
038984 TIMR S2 Leader, checking heartbeats
039377 CLNT S0 election timeouts restart a new election now - lastAct = 211 ms
039377 INFO S0 new timeouts 252 ms
039378 VOTE S0 send request to S1 for vote
039378 VOTE S0 send request to S2 for vote
039382 CLNT S1 Handle RequestVote, CandidatesId0 Term3 CurrentTerm2 LastLogIndex-1 LastLogTerm-1 votedFor1
039382 CLNT S1 voted to S0
039383 VOTE S0 got majority votes and becomes Leader Spend 0 millseconds
039467 TIMR S0 Leader, checking heartbeats
039472 LOG1 S1 Handle AppendEntries, LeaderId0 Term3 CurrentTerm3 role=[Follower]
039472 LOG1 S1 Return AppendEntries, LeaderId0 Term3 CurrentTerm3 role=[Follower]
039474 LEAD S0 appendEntries ends, peerTerm3 myCurrentTerm3 myRole[Leader]
039649 TIMR S2 Leader, checking heartbeats
039653 LOG1 S1 Handle AppendEntries, LeaderId2 Term1 CurrentTerm3 role=[Follower]
039653 LOG1 S1 Return AppendEntries, LeaderId2 Term1 CurrentTerm3 role=[Follower]
039655 LEAD S2 appendEntries ends, peerTerm3 myCurrentTerm3 myRole[Follower]
039663 LOG1 S0 Handle AppendEntries, LeaderId2 Term1 CurrentTerm3 role=[Leader]
039663 LOG1 S0 Return AppendEntries, LeaderId2 Term1 CurrentTerm3 role=[Leader]
039675 LEAD S2 appendEntries ends, peerTerm3 myCurrentTerm3 myRole[Follower]
039890 TIMR S2 Follower -> Candidate at time : 1681836526
039891 CLNT S2 election timeouts restart a new election now - lastAct = 751 ms
039891 INFO S2 new timeouts 317 ms
039893 VOTE S2 send request to S0 for vote
039893 VOTE S2 send request to S1 for vote
039897 CLNT S1 Handle RequestVote, CandidatesId2 Term4 CurrentTerm3 LastLogIndex-1 LastLogTerm-1 votedFor0
039897 CLNT S1 voted to S2
039899 VOTE S2 got majority votes and becomes Leader Spend 0 millseconds
039901 CLNT S0 Handle RequestVote, CandidatesId2 Term4 CurrentTerm3 LastLogIndex-1 LastLogTerm-1 votedFor0
039901 CLNT S0 voted to S2
039958 TIMR S2 Leader, checking heartbeats
039964 LOG1 S1 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
039964 LOG1 S1 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
039966 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
039967 LOG1 S0 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
039968 LOG1 S0 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
039969 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
040503 TIMR S2 Leader, checking heartbeats
040507 LOG1 S1 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
040508 LOG1 S1 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
040511 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
040513 LOG1 S0 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
040513 LOG1 S0 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
040515 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
041174 TIMR S2 Leader, checking heartbeats
041177 LOG1 S1 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
041178 LOG1 S1 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
041179 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
041181 LOG1 S0 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
041182 LOG1 S0 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
041184 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
041705 TIMR S2 Leader, checking heartbeats
041708 LOG1 S1 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
041708 LOG1 S1 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
041710 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
041711 LOG1 S0 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
041711 LOG1 S0 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
041715 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
042243 TIMR S2 Leader, checking heartbeats
042247 LOG1 S1 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
042247 LOG1 S1 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
042248 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
042250 LOG1 S0 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
042250 LOG1 S0 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
042251 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
042781 TIMR S2 Leader, checking heartbeats
042784 LOG1 S1 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
042784 LOG1 S1 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
042785 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
042787 LOG1 S0 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
042787 LOG1 S0 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
042787 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
043379 TIMR S2 Leader, checking heartbeats
043382 LOG1 S1 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
043383 LOG1 S1 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
043384 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
043385 LOG1 S0 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
043386 LOG1 S0 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
043387 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
043964 TIMR S2 Leader, checking heartbeats
043967 LOG1 S1 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
043967 LOG1 S1 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
043969 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
043970 LOG1 S0 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
043971 LOG1 S0 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
043971 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
044472 TIMR S2 Leader, checking heartbeats
044475 LOG1 S1 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
044476 LOG1 S1 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
044477 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
044478 LOG1 S0 Handle AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
044479 LOG1 S0 Return AppendEntries, LeaderId2 Term4 CurrentTerm4 role=[Follower]
044481 LEAD S2 appendEntries ends, peerTerm4 myCurrentTerm4 myRole[Leader]
045070 TIMR S2 Leader, checking heartbeats
045577 TIMR S2 Leader, checking heartbeats
046169 TIMR S2 Leader, checking heartbeats
046758 TIMR S2 Leader, checking heartbeats
047273 TIMR S1 Follower -> Candidate at time : 1681836527
047273 CLNT S1 election timeouts restart a new election now - lastAct = 279 ms
047274 INFO S1 new timeouts 240 ms
047275 VOTE S1 send request to S0 for vote
047275 VOTE S1 send request to S2 for vote
047343 TIMR S2 Leader, checking heartbeats
047887 TIMR S0 Follower -> Candidate at time : 1681836527
047888 CLNT S0 election timeouts restart a new election now - lastAct = 340 ms
047888 INFO S0 new timeouts 309 ms
047889 VOTE S0 send request to S1 for vote
047890 VOTE S0 send request to S2 for vote
047890 TIMR S2 Leader, checking heartbeats
048454 TIMR S2 Leader, checking heartbeats
049008 TIMR S2 Leader, checking heartbeats
049704 TIMR S2 Leader, checking heartbeats
050040 CLNT S1 election timeouts restart a new election now - lastAct = 276 ms
050041 INFO S1 new timeouts 311 ms
050042 VOTE S1 send request to S0 for vote
050042 VOTE S1 send request to S2 for vote
050248 TIMR S2 Leader, checking heartbeats
050812 TIMR S2 Leader, checking heartbeats
051058 CLNT S0 election timeouts restart a new election now - lastAct = 316 ms
051058 INFO S0 new timeouts 220 ms
051059 VOTE S0 send request to S1 for vote
051059 VOTE S0 send request to S2 for vote
051413 TIMR S2 Leader, checking heartbeats
051945 TIMR S2 Leader, checking heartbeats
052482 TIMR S2 Leader, checking heartbeats
053005 TIMR S2 Leader, checking heartbeats
053512 TIMR S2 Leader, checking heartbeats
053693 CLNT S1 election timeouts restart a new election now - lastAct = 365 ms
053693 INFO S1 new timeouts 278 ms
053695 VOTE S1 send request to S0 for vote
053695 VOTE S1 send request to S2 for vote
053696 CLNT S0 election timeouts restart a new election now - lastAct = 263 ms
053696 INFO S0 new timeouts 304 ms
053696 VOTE S0 send request to S1 for vote
053696 VOTE S0 send request to S2 for vote
054064 TIMR S2 Leader, checking heartbeats
054607 TIMR S2 Leader, checking heartbeats
055120 TIMR S2 Leader, checking heartbeats
055645 TIMR S2 Leader, checking heartbeats
056169 TIMR S2 Leader, checking heartbeats
056734 TIMR S2 Leader, checking heartbeats
056738 CLNT S1 election timeouts restart a new election now - lastAct = 304 ms
056739 INFO S1 new timeouts 285 ms
056739 VOTE S1 send request to S0 for vote
056739 VOTE S1 send request to S2 for vote
056741 CLNT S0 election timeouts restart a new election now - lastAct = 304 ms
056741 INFO S0 new timeouts 259 ms
056741 VOTE S0 send request to S1 for vote
056741 VOTE S0 send request to S2 for vote
057298 TIMR S2 Leader, checking heartbeats
057845 TIMR S2 Leader, checking heartbeats
058394 TIMR S2 Leader, checking heartbeats
059131 TIMR S2 Leader, checking heartbeats
059709 TIMR S2 Leader, checking heartbeats
059816 CLNT S1 election timeouts restart a new election now - lastAct = 307 ms
059817 INFO S1 new timeouts 201 ms
059818 VOTE S1 send request to S0 for vote
059819 VOTE S1 send request to S2 for vote
059820 CLNT S0 election timeouts restart a new election now - lastAct = 307 ms
059820 INFO S0 new timeouts 305 ms
059821 VOTE S0 send request to S1 for vote
059821 VOTE S0 send request to S2 for vote
060322 TIMR S2 Leader, checking heartbeats
060911 TIMR S2 Leader, checking heartbeats
061510 TIMR S2 Leader, checking heartbeats
061838 CLNT S1 election timeouts restart a new election now - lastAct = 202 ms
061838 INFO S1 new timeouts 192 ms
061839 VOTE S1 send request to S0 for vote
061839 VOTE S1 send request to S2 for vote
062048 TIMR S2 Leader, checking heartbeats
062554 TIMR S2 Leader, checking heartbeats
063121 TIMR S2 Leader, checking heartbeats
063383 CLNT S0 election timeouts restart a new election now - lastAct = 356 ms
063384 INFO S0 new timeouts 229 ms
063384 VOTE S0 send request to S1 for vote
063385 VOTE S0 send request to S2 for vote
063695 TIMR S2 Leader, checking heartbeats
063953 CLNT S1 election timeouts restart a new election now - lastAct = 211 ms
063954 INFO S1 new timeouts 214 ms
063954 VOTE S1 send request to S0 for vote
063955 VOTE S1 send request to S2 for vote
064274 TIMR S2 Leader, checking heartbeats
064807 TIMR S2 Leader, checking heartbeats
065376 TIMR S2 Leader, checking heartbeats
065938 TIMR S2 Leader, checking heartbeats
066154 CLNT S0 election timeouts restart a new election now - lastAct = 277 ms
066155 INFO S0 new timeouts 154 ms
066155 VOTE S0 send request to S1 for vote
066156 VOTE S0 send request to S2 for vote
066157 CLNT S1 election timeouts restart a new election now - lastAct = 220 ms
066157 INFO S1 new timeouts 151 ms
066157 VOTE S1 send request to S0 for vote
066157 VOTE S1 send request to S2 for vote
066160 CLNT S1 Handle RequestVote, CandidatesId0 Term11 CurrentTerm12 LastLogIndex-1 LastLogTerm-1 votedFor1
066160 CLNT S1 Refuse vote S0 cause term is older than me
066177 CLNT S0 Handle RequestVote, CandidatesId1 Term12 CurrentTerm11 LastLogIndex-1 LastLogTerm-1 votedFor0
066178 CLNT S0 voted to S1
066195 VOTE S1 got majority votes and becomes Leader Spend 3 millseconds
066275 TIMR S1 Leader, checking heartbeats
066279 LOG1 S0 Handle AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
066279 LOG1 S0 Return AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
066281 LEAD S1 appendEntries ends, peerTerm12 myCurrentTerm12 myRole[Leader]
066507 TIMR S2 Leader, checking heartbeats
066694 VOTE S1 did not got majortity votes election faild
066819 TIMR S1 Leader, checking heartbeats
066823 LOG1 S0 Handle AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
066823 LOG1 S0 Return AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
066824 LEAD S1 appendEntries ends, peerTerm12 myCurrentTerm12 myRole[Leader]
067029 TIMR S2 Leader, checking heartbeats
067352 TIMR S1 Leader, checking heartbeats
067356 LOG1 S0 Handle AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
067356 LOG1 S0 Return AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
067357 LEAD S1 appendEntries ends, peerTerm12 myCurrentTerm12 myRole[Leader]
067572 TIMR S2 Leader, checking heartbeats
067901 TIMR S1 Leader, checking heartbeats
067905 LOG1 S0 Handle AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
067905 LOG1 S0 Return AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
067907 LEAD S1 appendEntries ends, peerTerm12 myCurrentTerm12 myRole[Leader]
068095 TIMR S2 Leader, checking heartbeats
068252 VOTE S0 did not got majortity votes election faild
068499 TIMR S1 Leader, checking heartbeats
068503 LOG1 S0 Handle AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
068504 LOG1 S0 Return AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
068505 LEAD S1 appendEntries ends, peerTerm12 myCurrentTerm12 myRole[Leader]
068637 TIMR S2 Leader, checking heartbeats
068986 VOTE S1 did not got majortity votes election faild
069019 TIMR S1 Leader, checking heartbeats
069023 LOG1 S0 Handle AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
069023 LOG1 S0 Return AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
069025 LEAD S1 appendEntries ends, peerTerm12 myCurrentTerm12 myRole[Leader]
069273 TIMR S2 Leader, checking heartbeats
069623 TIMR S1 Leader, checking heartbeats
069627 LOG1 S2 Handle AppendEntries, LeaderId1 Term12 CurrentTerm4 role=[Leader]
069627 LOG1 S2 Return AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
069629 LEAD S1 appendEntries ends, peerTerm12 myCurrentTerm12 myRole[Leader]
069631 LOG1 S0 Handle AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
069631 LOG1 S0 Return AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
069632 LEAD S1 appendEntries ends, peerTerm12 myCurrentTerm12 myRole[Leader]
070154 TIMR S1 Leader, checking heartbeats
070158 LOG1 S2 Handle AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
070158 LOG1 S2 Return AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
070160 LEAD S1 appendEntries ends, peerTerm12 myCurrentTerm12 myRole[Leader]
070193 LOG1 S0 Handle AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
070193 LOG1 S0 Return AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
070195 LEAD S1 appendEntries ends, peerTerm12 myCurrentTerm12 myRole[Leader]
071000 TIMR S1 Leader, checking heartbeats
071008 LOG1 S0 Handle AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
071009 LOG1 S0 Return AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
071010 LEAD S1 appendEntries ends, peerTerm12 myCurrentTerm12 myRole[Leader]
071017 LOG1 S2 Handle AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
071018 LOG1 S2 Return AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
071019 LEAD S1 appendEntries ends, peerTerm12 myCurrentTerm12 myRole[Leader]
071073 VOTE S0 did not got majortity votes election faild
071633 TIMR S1 Leader, checking heartbeats
071639 LOG1 S0 Handle AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
071639 LOG1 S0 Return AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
071644 LEAD S1 appendEntries ends, peerTerm12 myCurrentTerm12 myRole[Leader]
071716 LOG1 S2 Handle AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
071717 LOG1 S2 Return AppendEntries, LeaderId1 Term12 CurrentTerm12 role=[Follower]
